60,12,10000,73,728.427861,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
60,13,10000,72,511.3747792,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
60,14,10000,63,463.522259,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'adam'}
60,15,10000,72,663.154983,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
60,16,10000,59,539.6581082,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
60,17,10000,70,510.2769523,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'},
60,18,10000,64,475.0434372,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'adam'}
60,19,10000,72,579.7818112,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
100,0,10000,68,616.2747619,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'lbfgs'},
100,1,10000,67,671.3058393,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'adam'},
100,2,10000,65,791.9964979,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
