30,10,0,34,160.3520989,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
30,11,0,64,164.9656219,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
30,12,0,36,242.1027353,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'sgd'},
30,13,0,65,162.9016898,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'},
30,14,0,40,229.4831331,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
30,15,0,39,176.9030261,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
30,16,0,50,230.6083138,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
30,17,0,51,158.9658849,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
30,18,0,60,161.3255277,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
30,19,0,64,157.4389791,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
60,0,0,68,318.5025609,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
60,1,0,68,296.0453501,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'},
60,2,0,68,317.7775834,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
60,3,0,68,321.830786,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
60,4,0,61,227.2073524,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
60,5,0,69,215.9321439,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'},
60,6,0,68,417.9838746,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
60,7,0,70,217.9339757,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
60,8,0,52,224.4271507,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'adam'}
