100,1,8000,72,2.1007349491119385,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,8000,73,1.7600688934326172,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,74,1.5636272430419922,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,71,2.41764760017395,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,53,0.45590925216674805,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,8000,58,0.4771273136138916,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,53,0.4812326431274414,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,60,0.46152567863464355,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,55,0.8723175525665283,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,60,0.5492303371429443,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,8000,66,0.4974174499511719,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,8000,66,0.4734370708465576,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,60,0.48285627365112305,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,8000,64,0.4601871967315674,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,64,0.5276689529418945,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,66,0.5222480297088623,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,0.5065152645111084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,8000,68,0.5133504867553711,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,60,0.4970381259918213,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,64,0.5374155044555664,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,68,0.5445756912231445,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,8000,66,0.5565006732940674,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,71,0.5510983467102051,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
