100,0,0,73,0.9231274127960205,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,50,0.9354977607727051,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,50,0.933549165725708,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,73,0.9250946044921875,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,73,0.9282588958740234,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,51,0.27774810791015625,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,0.27297449111938477,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,52,0.271622896194458,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,56,0.27115750312805176,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,0.2704813480377197,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,60,0.27814412117004395,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,52,0.2780022621154785,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,66,0.27880096435546875,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,3,0,66,0.2780613899230957,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,47,0.28347325325012207,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,64,0.36582136154174805,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,60,0.3038449287414551,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,0.30707478523254395,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,55,0.30211448669433594,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,0.30190229415893555,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,69,0.3224606513977051,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,66,0.3233213424682617,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,50,0.32594871520996094,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,52,0.32341790199279785,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,66,0.3238682746887207,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,56,0.36226439476013184,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,57,0.36471056938171387,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,52,0.36947178840637207,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,63,0.38093996047973633,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,63,0.36553382873535156,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,68,0.5867245197296143,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,59,0.5460059642791748,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,63,0.589444637298584,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,49,0.5399398803710938,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,60,0.548128604888916,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,50,0.926356315612793,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,50,0.9296000003814697,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,73,0.9210302829742432,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,71,0.9208431243896484,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,62,0.9163506031036377,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,50,0.2771589756011963,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,54,0.27261924743652344,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,52,0.3207869529724121,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,55,0.27384138107299805,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,54,0.2713663578033447,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,72,0.2807884216308594,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,56,0.27916836738586426,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
