060,4,8000,66,3.8591322898864746,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,8000,64,3.7099108695983887,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,8000,67,2.5573484897613525,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,67,3.993340253829956,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,67,3.6393184661865234,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,68,2.079843521118164,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,66,1.5902981758117676,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,8000,65,2.1948297023773193,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,8000,66,0.8223221302032471,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,67,0.65891432762146,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,4,8000,60,1.516364336013794,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,60,1.0428287982940674,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,1,8000,66,0.9447445869445801,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,8000,64,0.7375550270080566,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,3,8000,52,1.4197466373443604,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,60,1.8552544116973877,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,67,1.5096495151519775,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,8000,68,1.6067874431610107,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,8000,64,1.1056616306304932,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
015,3,8000,68,0.8118107318878174,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,64,0.9159281253814697,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,61,0.9677045345306396,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,8000,66,1.1330153942108154,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,67,0.9951629638671875,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,66,1.5367999076843262,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,8000,64,0.8424456119537354,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,8000,65,2.4442925453186035,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,8000,63,2.77921724319458,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,8000,68,1.2437732219696045,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,8000,62,1.848968267440796,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,8000,66,1.173198938369751,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,62,2.3118717670440674,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,8000,66,3.2031095027923584,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,2,8000,68,2.225614070892334,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,67,1.3907155990600586,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,8000,66,2.1972763538360596,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,8000,66,4.112310171127319,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
